CourseId,CourseTitle,DurationInSeconds,ReleaseDate,Description,AssessmentStatus,IsCourseRetired
mysql-fundamentals-part2,MySQL Fundamentals Part 2,9821,2013-07-09,"MySQL is a popular choice of database for use in web applications, and is a central component of the widely used LAMP open source web application software stack. In this course, which is part 2 of the Fundamentals of MySQL series, we explore more advanced topics such as stored procedures & user-defined functions, subqueries & joins, views and events & triggers.",Live,no
dynamics-crm-developer-part2,Dynamics CRM Developer - Part 2,18337,2013-07-10,"The Dynamics CRM Developer course is designed to help a developer familiar with Microsoft developer technologies learn how to customize and extend Microsoft Dynamics CRM. This is the second in a three part course series that introduces Dynamics CRM to developers in an accelerated way. This course covers data modeling, form customization, using role-based form, customization of views, editing navigation, client scripting, and building custom client user experiences.",Live,no
html5-from-scratch,HTML5 From Scratch,5790,2013-07-10,"HTML5 is the markup language of the web that has taken the world by storm. In this ""from scratch"" course, Jesse Liberty demonstrates all you need to know about what's new in HTML5 to get started creating world-class web sites.",Live,no
microsoft-test-manager-2012,Microsoft Test Manager 2012,6859,2013-07-10,"Learn how to use Microsoft Test Manager to plan, manage, and execute manual and automated tests. This course covers scripted test cases, exploratory testing, and ways for you to gather the right information to generate bugs and get them resolved quickly. The course will take walk you from manual verification to full automation.",Live,no
mongodb-introduction,Introduction to MongoDB,8847,2013-07-11,"MongoDB is a very popular open source NoSQL database. When scalability and speed are required, this database shines. It is a document database which imposes very little and has drivers for many programming languages. This course will teach you how to get mongo running, manipulate and query data, index for speed, and arm you with the essential skills required to start using Mongo.",Live,no
real-world-kendoui,Developing a Real World Application With Kendo UI,6822,2013-07-11,Since the dawn of developer tooling and frameworks 99.9% of demos and tutorials have focused on doing flashy things that are rarely applicable to the types of applications that the majority of developers create. In this course you'll see how you can use the Kendo UI JavaScript toolset to accomplish all the things the typical line of business application needs to do from a UI perspective using HTML5 and Kendo UI… and along the way we may even add some of those flashy things too,Live,no
com-advanced-topics,The Essentials of COM - Part 2,13266,2013-07-12,"This is the second in a series of courses exploring the essentials of COM and the Windows Runtime. In this second course, you are going to learn everything you need to know to understand and use the classic COM runtime. You will learn how to implement COM servers from scratch, including activation through class objects, registration, and class factories. You will learn techniques for reliably registering COM servers with the Kernel Transaction Manager and how to support registration-free activation. You will learn how a COM server keeps track of its lifetime requirements, and how COM clients may schedule COM servers to be unloaded. Finally, you’re going to be introduced to COM’s remoting architecture, including local and remotable interfaces, proxies and stubs, IDL and the MIDL compiler. Having completed these two courses on the essentials of COM, you be in a great position to start learning about the Windows Runtime.",Live,no
using-windows-powershell-sharepoint-2010-2013,Using Windows PowerShell with SharePoint 2010 and SharePoint 2013,17249,2013-07-12,"When it comes to administering and automating SharePoint 2010, 2013, and Office 365, there is no better tool than Windows PowerShell. After going through this course, you'll have the skills and knowledge necessary to be productive with PowerShell. In the first two modules, you'll get a jump start on PowerShell where you'll learn everything from basic syntax to creating functions and scripts, all within the context of SharePoint. Next, you'll discover what's new when it comes to using PowerShell V3 with SharePoint 2013. Administering SharePoint with PowerShell does not mean that you're limited to what you can do directly on the server, and in this course you'll learn everything you need to know to manage your Farm remotely, whether you are using Office 365 or an on-premises installation. And finally, sometimes the out of the box cmdlets just aren't enough - so we'll teach you how to create your own custom cmdlets that you can deploy to your SharePoint Farm. After completing this course, you'll be on your way to becoming a SharePoint superstar, with the core knowledge you need to start administering and automating SharePoint using Windows PowerShell.",Live,no
windows-embedded-standard7-introduction,Introduction to Windows Embedded Standard 7,18063,2013-07-12,"This course leads from the basic image creation steps using Image Builder Wizard (IBW) and Image Configuration Editor (ICE) into the advanced areas of embedded operating system development. Learn to build systems that are able to withstand harsh environments for dedicated vertical markets and secure them properly. Use embedded enabling features to boot systems directly into a custom shell application leveraging auto-logon, write-protect partitions and suppress/replace any of the Windows typical branding elements to guarantee a truly customized user experience on the device. Another focal point of the course is management and maintenance in factory and field, which help to complete a sound picture of an embedded system's life cycle. All course topics are explained using examples derived from real-world projects and are spiced with important tips, tricks and best practices.",Live,no
jquery-tips-and-tricks,jQuery Tips and Tricks,15789,2013-07-18,"jQuery provides a powerful set of features that can be used to build applications but do you know some of the key tips, tricks and best practices that can be used to reduce code, promote re-use and simplify maintenance? In the jQuery Tips and Tricks course Dan Wahlin and Elijah Manor will walk you through key tips and tricks learned over the years of building applications with jQuery. Topics covered include tips and tricks related to working with the DOM, handling and triggering events, making Ajax calls, working with and caching data locally, as well as taking advantage of built-in jQuery utility functions.",Live,no
learning-programming-abstractions-python,Learning To Program - Part 2: Abstractions,10276,2013-07-18,"Learning To Program 2 will introduce you to the fun and friendly Python programming language. In this course we'll focus on using and creating abstractions by trying different Python data structures, like the list, set, dictionary, and tuple. We'll also spend time looking at the fundamental concepts of object oriented programming, and how to apply those concepts when building a program.",Live,no
aspdotnet-web-services-introduction,Introduction to ASP.NET Web Services,10645,2013-07-19,"ASP.NET Web Services have been around for a long time, but this technology is still widely used today. If you have existing ASP.NET Web Services you are trying to support, you may have realized that it can be difficult to find good information about using them today. In this course you will learn the basics of ASP.NET Web Services and how to use them. We'll start off by talking about the technology and learning about how ASP.NET Web Services work. Then, we'll dive in and create our own simple ASP.NET Web Service and learn about how the technology works. Once we have a web service built, we'll learn how to use .NET's proxy generating utilities to create a consumer for our web service without writing much code. After that, we'll learn how to use ASP.NET Web Service in an existing ASP.NET application to provide AJAX functionality and even see how we can embed service methods in ASPX page. Finally, in the last module, I'll take you through the process of converting a legacy ASP.NET Web Service to newer technologies like WCF and Web API. So, if you need to maintain an existing legacy ASP.NET Web Service application or you are looking to learn enough about ASP.NET Web Service to feel confident in migrating to a newer technology, you'll want to check out this course.",Live,no
big-data-analytics-tableau,Big Data Analytics with Tableau,13495,2013-07-22,"Analyzing terabytes of data can be daunting, so what do you do with petabytes? The era of Big Data is upon us and it's time to sharpen up the toolbox in this new genre of systems and technologies. In this course Ben explains the evolution of Big Data systems, as well as, the various architectures and popular vendors in this space. After covering the fundamentals of Big Data systems Ben covers how to access these systems using Tableau Software. Using Tableau Software he covers how to work with your Big Data and visualize in ways that will leave your boss singing your praise.",Live,no
introduction-to-machine-learning-encog,Introduction to Machine Learning with ENCOG 3,8358,2013-07-22,"This course is focused on implementation and applications of various machine learning methods. As machine learning is a very vast area, this course will be targeted more towards one of the machine learning methods which is neural networks. The course will try to make a base foundation first by explaining machine learning through some real world applications and various associated components. In this course, we'll take one of the open source machine learning framework for .NET, which is ENCOG. The course will explain how ENCOG fits into the picture for machine learning programming. Then we'll learn to create various neural network components using ENCOG and how to combine these components for real world scenarios. We'll go in detail of feed forward networks and various propagation training methodologies supported in ENCOG. We'll also talk about data preparation for neural networks using normalization process. Finally, we will take a few more case studies and will try to implement tasks of classification & regression. In the course I will also give some tips & tricks for effective & quick implementations of neural networks in real world applications.",Live,no
learn-programming-cplusplus,Learn How to Program with C++,25076,2013-07-22,"C++ has a reputation for being a very difficult language to learn, and to use well. Changes to the language and the library that accompanies it have changed that. Beginners can now learn C++ and write real applications. In this course you'll learn the important parts of C++ 11 syntax, get an introduction to the most useful parts of the Standard Library, and be challenged to write applications yourself in addition to watching someone else write and explain code.",Live,no
xml-processing-approaches-dotnet-applications,The Many Approaches to XML Processing in .NET Applications,15778,2013-07-22,"Did you know that you can use XML instead of a SQL database for applications? Did you know there is LINQ to XML that allows you to process XML documents quickly and efficiently? If the answer is no to either of these two questions, then you need to watch this course. XML files are very common in today's programming world. You will most likely need to read files, write files and query XML within your applications. .NET provides a rich set of XML processing classes that you can use to perform all these functions. C# allows you to easily create, read and query XML files using XPath, LINQ to XML and other methods. In this course you will learn to read and write XML files using the various .NET classes. You will see some real-world uses of XML files in applications.",Live,no
pitching-idea-effectively,Pitching Your Idea Effectively,3289,2013-07-23,An introduction to the three types of pitches that you can make to an investor or in other business environments. Properly structuring your pitch will help with delivery and be more persuasive.,Live,no
windows-azure-mobile-services,Windows Azure Mobile Services,22872,2013-07-23,"In this course you will learn about all the features of Windows Azure Mobile Services including data, custom APIs, identity, push notifications, and management. You will also learn how to use all the client SDKs on all of the supported platforms (Android, IOS, Windows 8, Windows Phone, and HTML.",Live,no
building-high-traffic-profitable-blog,"Building a High Traffic, Profitable Blog",6010,2013-07-24,"Everybody can write, and everybody can build a blog. But not everyone can make their blog a popular point of reference for their subject matter. Content is king - but a king also has ministers to help, and good content needs help from various aspects of the real world. In this course, we discuss the essential elements to bringing quality content to the masses, making it popular, and monetizing your effort.",Live,no
building-windows8-games-platform-starter-kit,Windows Store Games with the Platformer Game Starter Kit,9207,2013-07-25,"This course will teach you, the first principles of how to build platform style games using the Platform Game Starter Kit, and the underlying Jaws.Js, Howler.Js, Tween.JS and Ludus libraries. The starter kit gives you an on-rails approach to platform game development, so you can get up and running quickly with building your own game, and using JavaScript you can easily customize the existing games or start your own from scratch.",Live,no
digital-audio-fundamentals,Digital Audio Fundamentals,10136,2013-07-25,"In order to work effectively with digital audio, whether as a computer programmer trying to use audio, or making your own recordings, it is essential to have a good grasp of the basic principles of digital audio. In this course, we will cover many of the foundational concepts such as sample rates, bit depths, decibels, clipping, headroom, effects, codecs, file formats, synthesis, and visualisations.",Live,no
inside-strategies-growing-userbase,Inside Strategies for Growing Your Userbase,9279,2013-07-25,"Jesse Stay, author of this course, created his first app with visions of getting a lot of users and making a lot of money, only to get there and realize he didn't know what to do to get those users. This course follows Jesse's adventures to grow those users and shares many lesser-known secrets that give developers the advantage over marketers in promoting their apps. This course will teach you everything you need to know to promote your app and grow a userbase in the thousands to millions.",Live,no
sitefinity-introduction,Introduction to Sitefinity,8131,2013-07-25,"This course will intorduce you to the architecture of Sitefinity while demonstrating the different aspects of creating new Web Application, work with the backend, add content, news, images, videos and others content items while showing you where to get help and be part of the community of this excellent CMS system.",Live,no
biztalk-server2013-whats-new,What’s New in BizTalk Server 2013,11130,2013-07-26,"In this course we will take a look at the new features of BizTalk Server 2013. Short on time? Module 1 is a high level overview of all the new major features including all the new adapters. In just 30 minutes you can be up to speed on BizTalk 2013. In other modules we dive deeper into the new adapters, BizTalk360 and Windows Azure infrastructure as a service. The new adapters include REST, Windows Azure Service Bus adapter with support for queues, topics, and relays, and SharePoint 2013.",Live,no
wordpress-internationalization,Internationalization in WordPress,2631,2013-07-26,"Almost 40% of WordPress downloads are for non-English, localized versions. That potentially means that if your plugin or theme is not localized, you could -- literally -- be speaking a different language than your users. This course will help to correct that; we’ll cover all of the internationalization functions, how to use them, and how to work with translators and language files to make your code fully translatable.",Live,no
beyond-basics-windows-phone8,Beyond the Basics in Windows Phone 8,7661,2013-07-30,"The course is designed for those who already have some experience working with the Windows Phone 8 SDK. Maybe you have already worked with the additional tooling and implemented the new tile types or lock screen notifications. In this course, I will walk you through four other core features including: Speech, In-App Purchasing, Wallet transactions and the new Map control. All of these four features can be found in many professional Windows Phone 8 apps currently in the marketplace.",Live,no
dotnet-puzzles-type-design,".NET Puzzles, Gotchas & Cautionary Tales",8591,2013-07-30,"Puzzles, gotchas and cautionary tales to frighten and inspire you! Puzzles are “unit tests” that pose a problem many good .NET programmers can’t answer. Pull out Visual Studio and explore, or go straight on to the next clip where you’ll learn why the .NET framework, C#, and Visual Basic behave that way. Regardless of your current skills, you’ll remember things you’ve forgotten, learn things you didn’t know and become a more robust programmer.",Live,no
hibernate-introduction,Introduction To Hibernate,14288,2013-07-30,"In the world of Java, one of the most popular and widely used frameworks is Hibernate. Hibernate is an ORM, or Object Relational Mapper, that allows developers to map Java objects to relational database tables. It is a valuable tool that all Java developers should know how to use. The problem is, learning Hibernate can be difficult. Hibernate is a very large framework and there are many important concepts to understand to use it effectively. This course is designed to make getting started with Hibernate as easy as possible and focus on the most important things you need to know. We start off this course by learning a bit about Hibernate and how it works, and then see how to get it setup with a real MySQL database installation. After that, we learn the very basics of mapping, which is one of the most important things to understand about Hibernate. I'll show you how to create a basic mapping for a Java object to a relational table and explain to you how the mapping works. But most real world applications have more complex mapping that often trips up new developers and experienced developers alike. So, we'll also cover some of the complex mapping situations like mapping collections and different relational mappings like one-to-many and many-to-one. Once you've learned how to map you objects, you'll want to know how to query them, so I'll show you how to do this using Hibernate's built in HQL and using a more object oriented approach with the Criteria API. Finally, we'll wrap things up by taking a brief tour of some of the more advanced features like caching and interceptors. So, if you are wanting to learn how to use Hibernate, or if you've been struggling through using Hibernate in an existing application, but never really understood what was going on, this course will give you the knowledge you need to feel confident about how Hibernate works and how to use it.",Live,no
ios-graphics-animation-programming,iOS Graphics and Animation Programming,14925,2013-07-30,"Learn the fundamentals of graphics programming for the iPhone, iPad and other iOS devices. Practical, real world examples are developed for both business graphics and video game animations. This course covers graphics and animation concepts and demos for the major iOS visual technologies: UIKit, Core Graphics, Quartz 2D drawing and the fundamentals of OpenGL ES programming.",Live,no
mastering-visual-studio-2012,Mastering Visual Studio 2012,13813,2013-07-30,"Master the new tools and features of Visual Studio 2012. This course covers the newest features of Visual Studio including Solution Explorer, tab management, searching, themes, extensions, options, and automated code testing. It also covers the new SQL Server Data Tools (SSDT) for designing, developing, comparing and deploying databases, and the new code map for visualizing your code. Enjoy!",Live,no
sharepoint-2013-search-development,SharePoint 2013 Search Development,13845,2013-07-30,"This course covers the concepts, architecture, and techniques for developing apps, solutions, and customizations based on SharePoint 2013 Enterprise Search",Live,no
css3-from-scratch,CSS 3 From Scratch,5888,2013-07-31,CSS3 is the style standard for HTML5 and for the web. It allows separation of markup (HTML5) from presentation (CSS3) and is key to creating modern web applications,Live,no
deploying-highly-available-distributed-systems-aws-part1,Architecting Highly Available Systems on AWS,14495,2013-07-31,"This course describes the techniques and best practices for composing highly available distributed systems on the AWS platform. Throughout the course, we build up a web application that takes advantage of AWS storage, databases, compute, messaging, DNS, and more.",Live,no
informational-interviews,Informational Interviews,6332,2013-07-31,"Use informational interviews as a powerful tactic to ramp up your networking. Informational interviews are powerful, if done right. In this course we will explore the preparation before the interview, what you do when you are there, and what to do after you have finished the interview.",Live,no
learning-program-better-programmer,Learning To Program - Being A Better Programmer,5742,2013-07-31,"This course is designed to help you become a better developer by giving you specific tips, tricks, and strategies to help you improve not only your software skills but your career. In this course we’ll use real life examples and discuss how to create a personal development plan with attainable goals. We’ll also look at how to create a culture of continuous learning in the workplace and how to persuade an employer to encourage learning. The course is here to convince, inspire, and educate, as well as give you the tools and techniques to reach higher.",Live,no
nginx-php-fundamentals,Nginx and PHP Fundamentals,10320,2013-07-31,"PHP powers more dynamic Web content that any other platform, and Nginx is the fastest growing HTTP server on the Internet. In this course, you'll start from the ground up learning how to host static HTML and dynamic PHP sites in Nginx, and how to build websites in PHP that interact with the user, and integrate with cloud services like Windows Azure and Amazon AWS. The course takes a hands-on approach, migrating an ASP.NET MVC website to PHP, and you'll see performance and cost comparisons for the two stacks.",Live,no
site-building-bootstrap-angularjs-ef-azure,"Building a Site with Bootstrap, AngularJS, ASP.NET, EF and Azure",23378,2013-07-31,"Sometimes you just need to get a site up and running fast. Whether it be a blog, an event site, a wedding announcement or a new business idea. Getting a website working should be a quick and easy task for a developer. This course uses a variety of technologies including ASP.NET MVC, Web API, Entity Framework, Bootstrap, AngularjS and Azure Websites to build and deploy a website.",Live,no
visualforce-introduction,Introduction To Visualforce,9141,2013-07-31,"Starting from the very basics this course leads the viewer through the process of building advanced custom pages for their Salesforce.com org. Extensively covering standard controller functionality this contains must-know information for those who want to get the most out of the platform, building reliable pages quickly.",Live,no
wpf-custom-controls-introduction,Introduction to WPF Custom Controls,14989,2013-07-31,Introduction to WPF Custom Controls is an introductory course designed to teach the basic concepts required to get started writing custom WPF controls. Learn how to choose a base class to start your custom control. Enable data binding support by adding your own custom properties. Learn how to add custom events and create custom commands. Add visual behavior to your custom control with the use of triggers and the visual state manager. You'll also learn how to add theming support to your custom control.,Live,no
dotnet-backgroundworker-component-introduction,Introduction to The .NET BackgroundWorker Component,7655,2013-08-06,"Keep your UI responsive. If we're not careful, a long-running process will cause our application to ""lock up"". The BackgroundWorker component gives us an easy-to-use solution by moving that long-running process off of our UI thread. We'll see how the BackgroundWorker component can keep our WinForms, WPF, or Silverlight UI responsive and also explore features such as progress reporting, cancellation, and error handling. After that, we'll see how easily the BackgroundWorker component fits in with an application using the Model-View-ViewModel (MVVM) pattern. And finally, we'll compare the BackgroundWorker component to the Task Parallel Library to make sure we're using the right tool for the job.",Live,no
csharp-from-scratch-part2,C# From Scratch - Part 2,6888,2013-08-07,"C# is the language of choice for software developers building web or desktop applications. This course extends part 1 to cover topics such as extensibility, polymorphism, delegates, actions predicates, lambda expressions and LINQ as well as asynchronous programming",Live,no
windows-internals,Windows Internals,24456,2013-08-07,"Software developers for Windows should understand the way Windows works, its mechanisms and algorithms, so they are able to write better software that can take advantage of Windows' strengths. The course deals with all the major terms in Windows, such as processes, threads, virtual memory and more. Whether you're a Win32 programmer, a .NET programmer or a device driver programmer, you should benefit from understanding Windows, which may help in troubleshooting difficult issues as well.",Live,no
eclipse-guided-tour-part1,The Eclipse Guided Tour - Part 1,15704,2013-08-08,Eclipse is a powerful open-source software development framework that runs on multiple platforms and is suitable for developing programs in many languages. Target applications can run on anything from the desktop or mobile device down to tiny 8 bit embedded processors. This course will focus on Java and C++ development but most of the content is applicable for developers in any language. This course is aimed at developers new to Eclipse AND for those that have already used Eclipse but haven't explored the full power of the IDE. Once you finish the course you'll be coding more and typing less.,Live,no
html5-fundamentals-2e,HTML5 Fundamentals,14173,2013-08-08,"Learn about HTML5 and find out about what new elements and JavaScript APIs make up HTML5. Find out why you can start today using HTML5 in your applications and what to expect in the future. Follow along with examples in DOM selection, HTML forms, media, canvas and the drag and drop APIs.",Live,no
logparser-fundamentals,Log Parser Fundamentals,13438,2013-08-08,"Log Parser is a free tool from Microsoft that provides the ability to write SQL-like queries against a large number of input formats. It is not just text based files like web logs, CSV files, etc. but also system resources like the file system, registry and event logs. Learn some best practices for monitoring your systems with log parser!",Live,no
sharepoint2013-search-back-front,SharePoint 2013 Search Back To Front,13158,2013-08-08,"This course is intended to deliver a SharePoint Search education for beginning and intermediate SharePoint Administrator. Targeted at SharePoint 2013 Farm Administrators and Site Collection Administrators, this course will help users who are attempting to provision, configure, manage and customize the SharePoint 2013 Search Service Application and Search Center. This course provides sufficient detail for the student to follow the demonstrations to complete a Search configuration and resolve issues with tested troubleshooting techniques.",Live,no
android-dotnet-developers-adopting-mindset,Android for .NET Developers: 3 Adopting The Android Mindset,12436,2013-08-14,"Creating high-quality, successful Android apps requires much more than just learning a list of features, you must learn to think like an Android developer. This course teaches you how to do exactly that. It moves you beyond simply leveraging your existing skills to creating user-oriented Android apps that take advantage of the Android platform’s unique capabilities. The specific behaviors and usage patterns of mobile users are discussed with a focus on the Android classes and features that facilitate the building of rich, user-oriented Android apps that meet and exceed user expectations.",Live,no
ssis-advanced,Advanced Integration Services,13162,2013-08-14,"This course explains how to apply Integration Services features to build packages that support the extract, transform and load operations of a data warehouse. It covers design patterns for staging data and for loading data into fact and dimension tables. In addtion, this course describes how to enhance ETL packages with data cleansing techniques and offers insight into the buffer architecture of the data flow engine to hep package developers get the best performance from packages. This course was written for SQL Server 2012 Integration Services, but most principles apply to SQL Server 2005 and later.",Live,no
building-mvc4-ios-android-apps-servicestack-xamarin-csharp,"An MVC4, iOS And Android App With ServiceStack, Xamarin and C#",11795,2013-08-15,"It can be very difficult to build a cross platform application that will work on the web as well as popular mobile platforms like Android and iOS. In this course, I’ll take you through the complete process of creating an application that works on each of the platforms and uses a REST based backend API to share data and business logic—all using C#. We’ll start off this course by learning how to build a REST based API using the popular open source framework ServiceStack. I’ll show you how easy it is to get ServiceStack set up and even how to store data for the API using a Redis database. Next, I’ll show you how to create an ASP.NET MVC 4 application that uses the REST service we built to display it's data and implement it's logic. We’ll learn how to use JQuery to make AJAX calls to a REST based API from within our MVC 4 application. Then, we’ll learn how we can use C# and the .NET framework to build an Android application using the Xamarin tools. We’ll use the same REST API, we created earlier and build a real native Android application that is able to consume that API for implementing its logic and displaying data. Finally, I’ll show you how to do the same thing for an iOS application. We’ll again use C# to build a real native iOS application with the Xamarin tools and learn how to consume REST based web services from iOS. So, if you are a C# developer and don’t want to have to learn several other programming languages to build cross platform applications; you’ll definitely want to check out this course. By the end of this course, you’ll have the skills you need to be able to implement an end-to-end cross platform solution complete with a REST based API backend all in C#.",Live,no
windows-forms-introduction-with-visual-basic,Introduction to Windows Forms,21073,2013-08-15,"This course is designed to help you get started building applications with Windows Forms. We start by examining the core elements of WinForms by building an application just using code. Once we understand the foundation of Windows Forms, we turn our attention to the tooling included in Visual Studio. We then look at some common application layouts, building a complete application for each. Next is an examination of the data binding features of Windows Forms. We’ll bind to simple objects, DataSets and LINQ to SQL entities. Finally we see how we can easily deploy Windows Forms applications using ClickOnce.",Live,no
dotnetnuke-fundamentals,DotNetNuke Fundamentals,7060,2013-08-16,"This course is aimed at beginner DotNetNuke (DNN) users. It is designed to get you started in building your own site with DotNetNuke. It takes you on a Guided Tour of some of the more important features of DNN, and concludes with a tutorial on building your own DNN module extension.",Live,no
haskell-fundamentals-part1,Haskell Fundamentals Part 1,10630,2013-08-16,"Do you want a more expressive and concise programming language? A language that catches more of your bugs at compile time, before they cause problems? A language with a fresh perspective that will change the way you think about programming? Meet Haskell! Haskell is an efficient and mature functional programming language that has, for the past quarter century, been pushing the boundaries of what a programming language can do. In this course you will learn the basics of Haskell, as well as some of the features that set Haskell apart from the multitude of other programming languages. No prior experience with functional programming is required for this course.",Live,no
building-facebook-applications-ios,Building Facebook Applications Using iOS,13333,2013-08-19,"Facebook hardly needs any introduction. As the world's largest social network it has become a go-to source for not only social connections but also social applications. Building an application on iOS that takes advantage of Facebook's large network and sophisticated APIs will help your application gain acceptance and reach. This course is all about using the Facebook SDK for iOS to do just that. From sharing, to security, to the Facebook Open Graph this course gives you the information you need to build a loosely or tightly integrated Facebook application on iOS.",Live,no
introduction-microsoft-business-intelligence-end-user-tools,Introduction to Microsoft Business Intelligence End-user Tools,9256,2013-08-19,"Are you confused by the fact, that there is not one End-User Tool for BI, but there are many from Microsoft? In spite of the fact that Microsoft decided in 2009 not to build further reporting-tools (but to consolidate the actual portfolio instead) a whole bunch of tools are available and are leading to some confusion through the users: Excel, PowerPivot, Report Builder & Report Designer (Reporting Services), Dashboard Designer (PerformancePoint Services) and Power View. You will take a lap around all of these tools and you will learn when to use which. In this demo-heavy course, the very same report will be built with each of these tools so you can see the strengths and weaknesses of each of them with your own eyes. After finishing the modules, you will be armed with the knowledge to decide which of the tools fits your end-users the best.",Live,no
csharp-tips-traps,C# Tips and Traps,14220,2013-08-20,"Whether you're still learning C# or you already have some experience, it's sometimes hard to know what you don't know. This course is designed to short-circuit your C# learning and provides a whole host of useful information about the sometimes under-used or unknown features of both the C# language and the .Net framework. It's suitable for those who are brand new to C# as well as experienced developers looking to ""round off"" their C# skills and ""fill in the gaps"".",Live,no
fixing-common-javascript-bugs,Fixing Common JavaScript Bugs,13359,2013-08-21,"In this course we will examine common bugs that are accidentally introduced when developing with JavaScript. For each bug we will expose the problem, explain what is going on, and then exterminate the issue with a solution. The goal is to help prevent you from making these mistakes and in the process gain a better understanding of how JavaScript works.",Live,no
python-fundamentals,Python Fundamentals,18278,2013-08-21,"Python Fundamentals gets you started with Python, a dynamic language popular for web development, big data, science, and scripting. What’s so great about Python? Python is powerful. The Python language is expressive and productive, it comes with a great standard library, and it’s the center of a huge universe of wonderful third-party libraries. With Python you can build everything from simple scripts to complex applications, you can do it quickly, and you can do it with fewer lines of code than you might think possible. But for many people those reasons take back-seat to something more important: Python is fun! Python’s readable style, quick edit-and-run development cycle, and “batteries included” philosophy mean that you can sit down and enjoy writing code rather than fighting compilers and thorny syntax. As your experiments become prototypes and your prototypes become products, Python makes the experience of writing software not just easier but truly enjoyable. In the words of Randall Munroe, ""Come join us! Programming is fun again!""",Live,no
sqlserver-transact-sql-error-handling,SQL Server 2012: Transact-SQL Error Handling,4872,2013-08-21,"Robust Transact-SQL coding practices dictate proactive planning for anticipated and unanticipated errors that might occur during code module execution. SQL Server’s flavor of Transact-SQL provides several commands that can be used to properly handle errors in your code and this course will cover the fundamental commands you’ll need to know, as well as effective error handling techniques that will help you properly handle issues for high throughput, mission-critical data tiers. This course is perfect for developers, DBAs, and anyone responsible for writing Transact-SQL code, from complete beginners through to those with more experience. The information in the course applies to all versions from SQL Server 2005 onward, with some emphasis on new SQL Server 2012 commands.",Live,no
best-practices-running-xenapp-xendesktop-vsphere,Best Practices for Running XenApp / XenDesktop on vSphere,3721,2012-10-08,"In this course, you'll learn the best practices to leverage the power of vSphere as an infrastructure, and enhance the performance of XenApp and XenDesktop. Specifically, you'll learn about tuning the platform, provisioning services, XenDesktop controller, and anti-virus. To get the most out of this course, you should have a strong foundation in networking and virtualization fundamentals, as well as some experience with systems administration.",Live,no
cplusplus-language-changes-vs2013-preview,C++ Language Changes in the VS 2013 Preview,7916,2013-08-22,"The C++ Language and the Standard Library both changed dramatically with the release of C++ 11. Some of these features were implemented in Visual Studio even before C++ 11 achieved final approval. Others were added in later versions. This course covers the features added in the Visual Studio 2013 Preview: simpler ways of constructing objects, raw string literals, explicit conversion operators, and of course variadic templates. Both using and writing variadic templates will be shown, with plenty of demos. There's even room for one C++ 14 feature!",Live,yes
spring-fundamentals,Spring Fundamentals,9931,2013-08-22,"This course covers all of the fundamentals of Spring. It covers Java Configuration, XML Configuration, Annotation based Configuration, Beans and their Scopes, and Properties.",Live,no
taking-leap-flash-html5,Taking The Leap from Flash to HTML5 Video,10104,2013-08-22,"Adobe Flash technology has long been the de facto solution for delivering video on the web. From a programming standpoint, it just worked. With ever-growing fragmentation, shifting standards, and lack of Flash support on mobile devices, the industry is currently in flux. HTML5 has emerged as an open source alternative to Flash for video playback, with a growing feature set, support across mobile, and an energized developer community surrounding it. HTML5 is really still in its infancy (well, perhaps adolescence) and its features are still not on par with Flash. But that doesn’t mean it’s not a good way to play video online. In this course, I’ll show you how to achieve the same basic video-related tasks in Flash and in HTML5. Through simple side-by-side examples, you’ll be able to compare the technologies and see the strengths and weaknesses of each, and hopefully remove a few bumps from your transition path.",Live,no
vmware-vsphere-5-adv-ft,VMware vSphere 5: Advanced Features,21857,2011-08-29,"Part 3 of 3 in the VMware vSphere 5 series covers advanced features of VMware vSphere 5, including DRS, Fault Tolerance, VDR and more. This comprehensive course will show you how to virtualize your server and network infrastructure in an innovative, efficient, and reliable way using VMware vSphere 5. You'll walk away from this course able to install and configure ESXi 5 and vCenter 5 and able to manage virtual machines, virtual storage, networking and you'll also know how to leverage advanced features such as VMware High Availability, VMware Fault Tolerance and more. To get the most from this course, you should know the basics of virtualization, and some experience working with VMware vSphere will be helpful, but is not required.",Live,no
vmware-vsphere-5-configuring,VMware vSphere 5: Configuring,23382,2011-08-29,"Part 2 of 3 in the VMware vSphere 5 series covers configuring VMware vSphere 5, including datacenters, hosts, virtual machines, virtual storage and more. This comprehensive course will show you how to virtualize your server and network infrastructure in an innovative, efficient, and reliable way using VMware vSphere 5. You'll walk away from this course able to install and configure ESXi 5 and vCenter 5 and able to manage virtual machines, virtual storage, networking and you'll also know how to leverage advanced features such as VMware High Availability, VMware Fault Tolerance and more. To get the most from this course, you should know the basics of virtualization, and some experience working with VMware vSphere will be helpful, but is not required.",Live,no
vmware-vsphere-5-installing,VMware vSphere 5: Installing,14742,2011-08-29,"Part 1 of 3 in the VMware vSphere 5 series covers installing VMware vSphere 5. This comprehensive course will show you how to virtualize your server and network infrastructure in an innovative, efficient, and reliable way using VMware vSphere 5. You'll walk away from this course able to install and configure ESXi 5 and vCenter 5 and able to manage virtual machines, virtual storage, networking and you'll also know how to leverage advanced features such as VMware High Availability, VMware Fault Tolerance and more. To get the most from this course, you should know the basics of virtualization, and some experience working with VMware vSphere will be helpful, but is not required.",Live,no
